record,COUNTRY,REGION,SECTOR,INDUSTRY,CAP1,CAP2,CAP3,CAP4,CAP5,CAP6,CAP7,CAP8,CAP9
P483,United States,NAMR,Public Sector,Public Sector,33,17,17,50,17,33,17,17,17
3526,United States,NAMR,Automotive & Mobility,Industrial Goods,50,33,33,33,17,33,17,33,50
3151,Czech Republic,EMESA,Automotive & Mobility,Industrial Goods,66,66,33,66,17,50,50,50,66
761,Italy,EMESA,Power and Utilities,Energy,66,66,66,66,66,66,50,83,100
31,Belgium,EMESA,Consumer Products,Consumer,50,66,50,50,33,33,50,66,66
3775,Sweden,EMESA,Automotive & Mobility,Industrial Goods,100,33,66,66,83,66,83,66,66
8,Sweden,EMESA,Automotive & Mobility,Industrial Goods,66,33,66,50,50,83,66,50,83
6216,Switzerland,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,100,66,66,33,50,83,83,17
422,United States,NAMR,Medtech,Healthcare,100,50,100,50,50,50,50,100,100
273,United States,NAMR,Biopharma,Healthcare,66,33,66,66,50,50,33,66,33
2727,United States,NAMR,"Providers, Systems & Services",Healthcare,17,17,0,33,0,17,17,33,33
801,Philippines,APAC,Power and Utilities,Energy,17,33,50,50,50,33,33,50,33
3567,United Arab Emirates,EMESA,Logistics & Postal Services,TCI,66,33,33,33,33,66,33,66,66
3779,United States,NAMR,Software,TMT,17,0,33,33,33,33,33,33,33
233,Spain,EMESA,Renewables,Energy,33,50,33,50,0,17,50,33,17
1754,France,EMESA,Rail & Hospitality,TCI,33,66,33,66,0,33,33,0,0
644,Netherlands,EMESA,Global Asset Managers,Financial Institutions,66,33,33,33,17,66,33,50,33
2110,United States,NAMR,Insurance,Insurance,50,66,33,66,50,83,100,83,50
2669,United States,NAMR,Media,TMT,100,100,100,66,100,100,100,100,100
217,Saudi Arabia,EMESA,Renewables,Energy,100,33,33,33,33,33,100,66,0
4655,India,APAC,Renewables,Energy,100,100,100,100,100,100,100,100,100
1295,India,APAC,Logistics & Postal Services,TCI,50,66,66,50,33,33,50,66,50
466,Germany,EMESA,Consumer Products,Consumer,0,100,66,33,17,66,66,100,33
1466,United Kingdom,EMESA,Insurance,Insurance,33,33,33,66,50,33,33,66,66
670,United States,NAMR,Software,TMT,83,100,100,66,100,100,100,83,100
P817,Germany,EMESA,Public Sector,Public Sector,66,33,33,100,33,50,66,17,17
5315,Germany,EMESA,Medtech,Healthcare,100,33,8,33,17,33,17,17,17
3429,United States,NAMR,"Devices, Components, and Semiconductors",TMT,50,50,50,50,50,50,66,83,83
5805,Taiwan,APAC,Software,TMT,33,33,33,33,33,33,33,33,33
1927,United States,NAMR,"Construction, Cities and Infrastructure Development",TCI,33,33,17,33,33,33,17,33,17
4677,Netherlands,EMESA,Insurance,Insurance,66,66,33,33,33,66,66,33,66
1417,Japan,APAC,Retail,Consumer,66,33,33,33,33,33,17,50,17
